Tweet_count,Username,Text,Created At,Retweets,Likes,Category
26,Fatima Shahul Hameed - SayYesToWomenSafety&AIADMK,"#குற்றவாளிகள்கூடாரம்_திமுக

பொய் பேசுவதில் வல்லவர்! 

மக்களை எப்படி எல்லாம் ஏமாற்றலாம் என்று புதுப்புது டெக்னிக்கை ரூம் போட்டு யோசிப்பவர்!

வாக்களிக்கும் மக்களை வெறும் வாக்கு சீட்டுகளாக மட்டுமே எண்ணுபவர்! 

ஆட்சி அதிகாரத்தில் அமர்வதற்கு என்ன வேண்டுமானாலும் செய்பவர், எதை https://t.co/euqwzuibpF",Fri Feb 28 02:31:18 +0000 2025,18,32,AIADMK
27,வி.வி.கே SayYesToWomenSafety&AIADMK,"2k kids இவரை insta ல பங்கம் பண்றாங்க 
😂😂😂 https://t.co/Vp0Ybluou9",Fri Feb 28 05:21:12 +0000 2025,1,9,AIADMK
28,AIADMK ITWING_TVL-SayYEStoWomenSafety&AIADMK,"கோரனா பேரிடரில் நாட்டை காத்த மருத்துவரே..!!
எங்கள் அண்ணனே..!!!
வருக..!! வருக..!!!
@Vijayabaskarofl 
#ADMK_TVL https://t.co/A4eDSWRBlg",Fri Feb 28 01:44:25 +0000 2025,4,22,AIADMK
29,மின்னல்⚡முரளி SayYEStoSafety&AIADMK,"எடப்பாடியார் vs திமுக
எடப்பாடியார் vs பாஜக
எடப்பாடியார் vs ஓபிஸ் (துரோகி)
எடப்பாடியார் vs டிடிவி
எடப்பாடியார் vs தமிழக ஊடகம்
எடப்பாடியார் vs பத்திரிக்கையாளர்கள்

இதுபோன்ற பல பேர்கள் இவரை எதிர்த்த போதிலும் எதற்க்கும் அஞ்சாமல் துனிவாக விடாமுயற்சியுடன் உழைக்கும் ஐயா #எடப்பாடியார் https://t.co/DlCKWt2jbK",Fri Feb 28 02:39:14 +0000 2025,1,4,AIADMK
30,Saravanakumar(AsK) - SayYesToWomenSafety& AIADMK,"பலே ஆளுயா‌ நீர்.....
தினமும் ஊழல்,கொலை,கொள்ளை, கள்ளச்சாராயம், போதை பொருள் புழக்கம், பாலியல் துன்புறுத்தல்னு தமிழ்நாடே நாசமாகி இருக்கு....

அதையெல்லாம் மறச்சிட்டு இங்கே வந்து தமிழைக் காப்போம்னு எலெக்சன்காக உருடிக்கிட்டு இருக்கிற‌‌......!! https://t.co/cvcYvh8T1j",Fri Feb 28 03:46:27 +0000 2025,7,16,AIADMK
31,Edappadi K Palaniswami-SayYEStoWomenSafety&AIADMK,"மொழி மற்றும் கலாச்சாரப் பன்முகத்தன்மையைப் பறைசாற்றும் 
உலகத் தாய்மொழி நாளான இன்று, 
நம் தாய்நிகர் #தமிழ் மொழியைப் போற்றி வணங்குவதுடன்,

எல்லா மொழிகளுக்கும், எம்மொழி பேசும் மக்களின் உணர்வுகளுக்கும் சமத்துவப் போக்குடன் எப்போதும் மதிப்பளித்து, அதே சமயம் எம்மொழியை நம்மீது எவர் https://t.co/kcSGgwxmoT",Fri Feb 21 05:27:50 +0000 2025,738,1607,AIADMK
32,Senthil Kumar. S - SayYesToWomenSafety&AIADMK,"விளம்பர, நாடக, போலி அப்பா.

6 ஆம் வகுப்பு படிக்கும் சிறுமிக்கு என்ன வயது இருக்கும் பெண்களுக்கும் , சிறுமிக்ளுக்கும் தமிழ்நாட்டில் எந்த ஒரு ஆட்சியிலும் இவ்வளவு மோசமான சூழல் வந்ததில்லை..

இந்த ஆட்சியை இப்படியே விட்டோம் என்றால் தமிழ்நாடும் வட மாநிலங்கள் போல் மாறிவிடும்.. https://t.co/xxwNqlbhre",Fri Feb 28 04:01:44 +0000 2025,2,9,AIADMK
33,Ponneri.JK - SayYEStoWomenSafety & AIADMK,"நன்றி !!! நன்றி !!! நன்றி !!!

M. ஜெயகிருஷ்ணன் என்னும் நான் …..
இன்று முதல் திருவள்ளூர் வடக்கு மாவட்டம், தகவல் தொழில்நுட்ப பிரிவு 
இணை செயலாளராக கழகத்துக்கு பணியாற்றுவேன் என்று உறுதி அளிக்கிறேன்✌️

என்னை நியமனம் செய்த 
கழக பொது செயலாளர்,
சட்டமன்ற எதிர் கட்சி தலைவர், 
முன்னாள் https://t.co/dtbRJa7Zwk",Thu Feb 27 12:30:33 +0000 2025,9,54,AIADMK
34,வி.வி.கே SayYesToWomenSafety&AIADMK,"எதிர்க்கட்சியாய் இருக்கும்போது கருப்பு பலூன் ஆளுங்கட்டியா இருக்கும்போது வெள்ளை குடை...
😂😂😂 https://t.co/rKaXzbJ2Z2",Wed Feb 26 12:17:52 +0000 2025,68,285,AIADMK
35,Ravi - SayYesToWomenSafety&AIADMK,"இது தான் நீங்க சொன்ன நல்லாட்சியா ? @mkstalin 

தமிழக மக்களுக்கு தான் பாதுகாப்பு இல்லை என்று பார்த்தால் ஆட்சியருக்கு கூட பாதுகாப்பில்லையா ???

#DMKFails https://t.co/8fofw96juy",Fri Feb 28 05:03:13 +0000 2025,1,2,AIADMK
