Tweet_count,Username,Text,Created At,Retweets,Likes
37,Dr. Praveen Kumar,"Annamalai has successfully created a DMK Vs BJP narrative! 

A Brilliant Annamalai has created a DMK Vs BJP narrative definitively for the first time in Tamil Nadu politics! @annamalai_k 

This will be a HUGE boost for BJP’s prospects leading into 2026 if channelized well!

What https://t.co/e0Y1oVa4Kq",Fri Feb 21 05:57:05 +0000 2025,101,356
38,Sanidhi Singh Verma,"Tamil Nadu needs a leader a Sewak, சேவகர் who go to the people and has a direct attachment to the people!!

And just @annamalai_k can do that🙏🪷❤️ 

#GetOutStalin 
#GetOutStalin_2026

https://t.co/XkrpzcZltY",Sat Feb 22 06:12:22 +0000 2025,1,6
39,Salem Dharanidharan,"Hindu data point on #ssa by @VigneshJourno shows Tamil Nadu as one  performing states on outcomes desired by #ssa, Infact Tamil Nadu ranks no 1 in access to toilet for girls in these schools. Yet Tamil Nadu is denied funding. 

UP / MP and Bihar ruled by BjP is top 50% for less https://t.co/aC1bH1bQ5t",Tue Feb 25 06:49:47 +0000 2025,102,126
40,Social Justice:சமூகநீதி,"The arrogance! 

Actually, BJP isn’t  following the constitution - Tamil Nadu follows a strict two-language policy and does not implement the three-language formula.

The Official Languages Act legally protects Tamil Nadu.

The Edu minister should learn!

 https://t.co/oBsWOOH43c",Sat Feb 15 13:26:30 +0000 2025,412,1135
41,BJP Tamilnadu,"இரு மொழி என்பது ஊரார் பிள்ளைகளுக்கு, மும்மொழி என்பது தன் பிள்ளைகளுக்கு என்பதே @arivalayam மாடல்.! https://t.co/dOxL6A9d85",Thu Feb 20 08:38:41 +0000 2025,194,378
42,IANS,"Tirunelveli, Tamil Nadu: BJP members staged a protest at Tirunelveli Junction Railway Station, demanding action against DMK members for erasing Hindi letters from the nameboard. The protest created tension, leading to a heated argument when the police attempted to remove the https://t.co/WnA1T4pL4U",Tue Feb 25 10:22:04 +0000 2025,0,6
43,BJP Tamilnadu,"எங்கும் ஸ்டிக்கர், எதிலும் ஸ்டிக்கர் என்பதே திராவிட மாடல்.! https://t.co/wP9kPnwJCv",Mon Feb 24 15:10:00 +0000 2025,279,617
44,Thoothukudi S.Joel,"BJP’s dream: One nation, One language, One party, One leader.
Tamil Nadu’s reply: Not happening in a thousand years. 💪🔥

#GetOutModi https://t.co/TDxpG83t1C",Thu Feb 20 08:20:23 +0000 2025,176,245
45,K Uday,"Tamil Nadu Election results will surprise you, TVK can emerge rapidly in the politics of tamil nadu which degrades the AIADMK.
But, it is interesting to watch what BJP entertainer Annamalai does.
I think PK can't make an impact in TN politics.

https://t.co/FPQOzbIHOo",Wed Feb 26 11:09:16 +0000 2025,0,3
46,CH.Sekar (சி.எச்.சேகர்),"BJP's delimitation strategy: Reward states with high population growth, punish those with effective policies. Tamil Nadu deserves fair representation! 

#FairDelimitationForTN https://t.co/peR2LMeTiR",Tue Feb 25 11:45:02 +0000 2025,57,60
