Tweet_count,Username,Text,Created At,Retweets,Likes,Category
97,News18 Tamil Nadu,2026 தேர்தலில் 200 இலக்கு என்பதை ஈரோடு கிழக்கு தொடங்கி வைத்துள்ளது முதலமைச்சர் முகஸ்டாலின்,Sun Feb 09 10:52:07 +0000 2025,5,17,Tamil Nadu Elections 2026
98,TIMES NOW,probably 2024 and 2026 would be the first time in tamil nadu politics when elections will be issuebased in conversation with,Thu Mar 14 09:04:13 +0000 2024,44,191,Tamil Nadu Elections 2026
99,Dr. Praveen Kumar,a bjpadmk alliance will be political suicide for bjp i cant comprehend why bjp still wants an alliance with the corrupt admk the admk government from 2017 to 2021 was one of the worst governments in tamil nadus history involving large scale corruption and not a single,Sun Jan 28 04:36:08 +0000 2024,54,208,Tamil Nadu Elections 2026
100,Vijay Fans Trends,has announced that it will neither contest nor extend support to any party in the erode east byelection scheduled for 5th february 2025 the party reaffirmed its commitment to prioritising the 2026 tamil nadu assembly elections,Fri Jan 17 04:35:18 +0000 2025,287,699,Tamil Nadu Elections 2026
1,Pokkiri_Victor,1 retweet 1 vote for,Fri Feb 21 09:03:08 +0000 2025,3199,4183,TVK
2,TVK Vijay Trends,cutest video in internet today,Wed Feb 26 07:22:45 +0000 2025,985,5389,TVK
3,தமிழக வெற்றிக் கழகம் (செய்திகள்),2026 for tvk,Fri Feb 21 05:39:56 +0000 2025,2157,4247,TVK
5,Surendar TVK 🔥,there should be a case study on how a person be so cool amp relax all the time not getting irritated or anger on some actions,Wed Feb 26 13:52:09 +0000 2025,146,519,TVK
6,Mᴜʜɪʟツ𝕏,kaliammal started following welcome to tvk,Mon Feb 24 11:28:58 +0000 2025,454,1851,TVK
8,Dinakaran,அரசியல் முடிவு அவரது தனிப்பட்ட விருப்பம் அதில் குடும்பத்துக்கு தொடர்பு இல்லை ஆதவ் அர்ஜூனா மனைவி,Fri Feb 28 03:33:00 +0000 2025,0,7,TVK
9,TVK Party Updates,நம் கழகத் தலைவர் அவர்களின் ஆணைப்படி நமது வெற்றிக் கொள்கைத் திருவிழாவிற்கான பூர்வாங்கப் பணிகள் ஏற்கெனவே தொடங்கி நடைபெற்று வரும் நிலையில் மாநாட்டுத் திடலில் மாநாட்டு மேடை மற்றும் பந்தல் அமைக்கும் பணிகளுக்கான கால்கோள் விழா இன்று 04102024 அதிகாலை தலைமைக் கழக நிர்வாகிகள் மற்றும்,Fri Oct 04 07:36:30 +0000 2024,1902,7996,TVK
10,ʲᵈᴀʟᴇxᴀɴᴅᴇʀᵗʷᵉᵉᵗˢ,converted into tvk,Sun Feb 23 13:25:06 +0000 2025,304,1220,TVK
12,சமூகநீதி🏴🚩,a new leader is emerging for this society and it should not be an actor actor joe malloori இந்த சமூகத்திற்கு ஒரு புதிய தலைவன் உருவாகிறான் என்றால் அது நடிகனாக இருக்க கூடாது நடிகர் ஜோ மல்லூரி,Wed Feb 26 01:46:49 +0000 2025,459,1521,TVK
13,TVK Vijay Trends,full speech of,Wed Feb 26 07:34:43 +0000 2025,2429,8443,TVK
14,𝗩𝗧𝗠ᵀⱽᴷ,can i get 100 tag comments,Fri Feb 21 06:02:08 +0000 2025,902,1122,TVK
15,Polimer News,live tvk 2ஆம் ஆண்டு துவக்க விழா link,Wed Feb 26 01:41:16 +0000 2025,19,59,TVK
16,TVK Vijay Trends,indias strongest political it wing,Fri Feb 21 09:14:14 +0000 2025,2250,5909,TVK
17,Living Temples Of Bharat,with acharyas blessings the mahakumbabhishekam of mukundhagiri shri panchayutheshwarar temple went on well today the centuries old temple was untraceable amp murtis were in a shed until gurukataksham trust amp tvk started the renovation om namah shivaya credits,Sun Jun 16 13:00:14 +0000 2024,27,85,TVK
18,𝗥 𝗨 𝗞 𝗦 𝗛 ₳₳ 𝗡,tvk is for everyone,Fri Feb 21 06:29:54 +0000 2025,882,1785,TVK
19,TVK IT wing HQ,this sync ிழகவெற்றிக்கழகம்,Wed Feb 26 14:20:07 +0000 2025,889,4797,TVK
