Tweet_count,Username,Text,Created At,Retweets,Likes
38,News18,"DMK stages massive protest against three-language policy and to object MoS Education Sukanta Majumdar's visit to IIT Madras. @nimumurali reports from the ground

""DMK is indulging in divisive federalism"": BJP's @crkesavan 

@toyasingh | #TamilNadu #threelanguagepolicy #NEP https://t.co/YC4qqQcesy",Fri Feb 28 05:24:20 +0000 2025,1,3
39,Vanitha,"DMK daa🔥🔥
#GetOutModi https://t.co/OfeyYFKleB",Thu Feb 20 09:58:30 +0000 2025,590,756
40,Narendra Modi,"Tamil Nadu is going to surprise everyone with the results. Our Party is emerging as a very strong force across the state. The people are in no mood to support the DMK any longer. 

Here are some more glimpses from Coimbatore. https://t.co/vW5neiHF2u",Mon Mar 18 15:56:48 +0000 2024,12151,78697
41,#DMK4TN,"How Delimitation Could Change Lok  Sabha Elections!

#FairDelimitationForTN Share max! https://t.co/mwHjfUPbJi",Tue Feb 25 11:33:34 +0000 2025,264,318
42,Mr.பழுவேட்டரையர்,Rowdism of DMK's police department. This video clearly shows the police man pushing the security and storming into the house. Another man who isnt wearing any form of uniform pushes the security and is seen attacking him. The security then pushes back and is later dragged out. https://t.co/f9vATOdbWD,Thu Feb 27 09:51:03 +0000 2025,200,462
43,sabarish✨🖤❤️,"அந்த பயாம் இருகனும் டா  @annamalai_k 

#GetOutModi https://t.co/eFpMOys1Nh",Thu Feb 20 08:07:47 +0000 2025,727,1007
44,மௌனம் (JC DMK),"இந்த ட்ரெண்ட் க்கு மட்டும் தான் மக்கள் லீவு போட்டு கூட அடிப்பாங்க 😂😂... என்னா அடி 

#GetOutModi https://t.co/fk2ATT5dhG",Thu Feb 20 06:13:44 +0000 2025,885,1153
45,Thoothukudi S.Joel,"அடேய் கூமுட்டைகளா…

நீ
படுத்துக்கொண்டு கனவு கண்டாலும்
பகல் கனவு கண்டாலும் 
எங்கள் தமிழ் மண்ணில் 
உன் பாசிசத்தை விதைக்க முடியாது!

அடியோடு வெட்டி வீழ்த்துவோம்! 💪🔥🌅

வாழ்க! வளர்க நம் தமிழ்நாடு! 

#GetOutModi https://t.co/Aml9VVIDet",Thu Feb 20 05:32:05 +0000 2025,103,163
46,தூய துறவி,"Lkg ah?
பல Phd முடிச்ச கச்சிங்க 🔥🔥🔥
#DMK #CMMKStalin https://t.co/WkYWalgOhT",Thu Feb 27 06:34:34 +0000 2025,505,2259
47,Polimer News,"""இந்தி திணிக்க கூடாதுன்னு சொல்ற நீங்க தமிழுக்கு என்ன பண்ணீங்க..?"" தமிழ் வச்சு தான ஆட்சிக்கு வந்தீங்க.. இப்போ இந்தியை எதிர்க்கிறது எந்த விதத்தில் நியாயம்..? - தி.மு.கவை விமர்சித்து பேசிய அன்புமணி
#Salem | #AnbumaniRamadoss | #PMK | #DMK https://t.co/h59LAelXmQ",Wed Feb 26 08:09:06 +0000 2025,198,809
48,Tamil Ka.Amutharasan,Very Wrong Bro https://t.co/tF1Mb6yCK1,Wed Feb 26 15:16:15 +0000 2025,489,2032
49,R.Rajiv Gandhi ✨,"தமிழ்நாடு போராடும்! 
தமிழ்நாடு வெல்லும்!!

#StopHindiImposition
#FairDelimitationForTN https://t.co/kslergXxe3",Fri Feb 28 03:05:01 +0000 2025,130,318
50,TIMES NOW,"DMK Cadre Hold Mega Protest in Chennai 

Protesters are raising slogans against the NEP.  

""We don't accept the new education policy,"" a protester told @dharannniii.  

@SagarikaMitra26 with more details. https://t.co/MTclmnSrR6",Fri Feb 28 04:46:30 +0000 2025,0,6
51,சாணக்யா,"தமிழை கட்டாய தேர்வில் இருந்து விலக்குவேன் - ஸ்டாலின் பேசியதை காட்டவா?
#Chanakyaa #rangarajpandeyinterview #annamalai #mkstalin #3languagepolicy #udhayanidhistalin #dmk #latestnews #tamilnews #rangarajpandey https://t.co/GK4gNsRkA9",Sat Feb 22 08:17:25 +0000 2025,602,1518
52,Tamil Ka.Amutharasan,"தற்குறி ஆடு சொல்வதும் பொய் 
ஹேஸ்டேக்கும் பொய்😂😂
 
#தமிழ்_வாழ்க https://t.co/oSSmhMYuFG",Fri Feb 21 08:59:21 +0000 2025,403,916
53,குட்டி,"Whenever vijay attack DMK

~Thiruma:- https://t.co/Y3Z0SLPnZn",Wed Feb 26 14:39:28 +0000 2025,553,2649
54,DMK Youth Wing,"""இந்தி எழுத்துகளை அழித்தால் வடமாநிலப் பயணிகள் எப்படி ஊர்ப் பெயர்களை அறிந்துகொள்வார்கள்?"" என்று 'அறிவுப்பூர்வமான' வினாவை எழுப்பி, தங்கள் இந்தி விசுவாசத்தைக் காட்டுகிறார்கள் இங்குள்ள பா.ஜ.க.வினர்!

தமிழர்கள் வடமாநிலங்களுக்குச் செல்லும்போது எப்படி அறிந்துகொள்கிறார்களோ அப்படியே https://t.co/1zCgGkRtk2",Wed Feb 26 07:43:03 +0000 2025,226,340
55,Scarlet Heart 🐬,DMK g00ns erasing English letters instead of Hindi. Lol.😂😂😂 https://t.co/3picPSY5YM,Tue Feb 25 04:58:37 +0000 2025,280,1027
56,DMK,"தமிழ்நாடு போராடும்!
தமிழ்நாடு வெல்லும்!

- கழகத் தலைவர், மாண்புமிகு முதலமைச்சர் திரு @mkstalin அவர்கள்

#DMK4TN https://t.co/87hlOTyjtP",Fri Feb 28 03:51:43 +0000 2025,111,171
