Tweet_count,Username,Text,Created At,Retweets,Likes
39,Indian Youth Congress,Warm Congratulations to Shri @girishgoaINC ji on his appointment as the incharge of the Tamil Nadu &amp; Puducherry Congress Committee. https://t.co/n3JXMRFtRl,Fri Feb 14 17:58:59 +0000 2025,45,106
40,Tamil Nadu Congress Committee,https://t.co/d35uUyPFgo,Sat Feb 15 14:12:17 +0000 2025,14,20
41,Vikram Pratap Singh,"NDA now in 21 States.

Hopefully Bengal &amp; Tamil Nadu will add to kitty soon.

Karnataka is sure .
Himachal is sure . 

Not far for Congress Mukt Bharat .",Sun Feb 16 18:56:39 +0000 2025,1564,10527
42,Political Views,"🚨 Sanjay Raut : If we do not keep the INDIA alliance alive, the opposition will die. BJP will eliminate the opposition.

It is the responsibility of Congress to keep us together⚡️

Believe it or not, they are not going to contest as INDI Bloc anywhere except in Tamil Nadu. https://t.co/5QhDn22KM5",Tue Jan 14 07:02:55 +0000 2025,102,1254
43,ANI,"#WATCH | Tamil Nadu Congress President K. Selvaperunthagai says, ""CM Stalin gave us 10 constituencies. We are going to win 39+1, 40 seats with a huge margin...He (PM Modi) did not do anything in the last 10 years"" https://t.co/NfcRnfEPtd",Mon Mar 18 07:44:31 +0000 2024,156,1772
44,IndiaToday,"Congress MP @KartiPC speaks to India Today on NEP's three language policy, says ""There are no takers for Hindi in Tamil Nadu. Third language is only a code word for Hindi imposition. Can any language be taught as third language? What does the Centre mean by a third language?"" https://t.co/zvx0hhoCKR",Fri Feb 21 10:14:26 +0000 2025,18,32
45,Narendra Modi,"When one works with motto of India First, a grand memorial for Dr. Kalam is built in Tamil Nadu. 

Congress works with Family First, so they even forget great sons of Tamil Nadu like Dr. S. Radhakrishnan and Shri R. Venkataraman. Their only interest is one dynasty. https://t.co/VOsfyi3vjb",Sat Apr 13 13:26:23 +0000 2019,2669,10127
46,INC (South India ),"Join the Tamil Nadu Congress Party in Vellore District. 
1. **Scan the QR Code Below** to register.
2. Fill out the form and become a member of the Tamil Nadu Congress Party!

**Together, We Can Make a Difference!**
@SPK_TNCC @INCIndia @INCTamilNadu @onemevinod  @RahulGandhi https://t.co/Nzw6PfAQ3J",Fri Jan 24 06:55:33 +0000 2025,3,3
47,Tamil Nadu Congress Committee,"1582 பள்ளி, கல்லூரி மாணவர்களுக்கு காங்கிரஸ் நிர்வாகிகளின் பரிந்துரையின்படி 2024- 2025 கல்வி ஆண்டுக்கான  ரூபாய் 2,91,49,500  கல்வி உதவித்தொகை வழங்கப்பட்டது.

#1yearofselvaperunthagai https://t.co/wjVCtMmzJO",Sat Feb 22 18:10:39 +0000 2025,39,62
48,Tamil Nadu Congress Committee,சமீபத்தில் சில நாட்களாக காங்கிரஸ் கட்சியின் உட்கட்சி விஷயங்கள் குறித்து பொது ஊடகங்களில் பகிரங்கமாக கருத்து கூறப்பட்டு  வருகிறது. காங்கிரஸ் கட்சி ஒரு ஜனநாயக இயக்கம். கருத்து வேறுபாடுகள் ஏற்படுவது இயல்பு. அதை கட்சிக்குள் பேசி தீர்த்துக்கொள்வது தான் நடைமுறையாக இருந்து வருகிறது. https://t.co/InLJg7X1io,Sun Feb 23 16:42:27 +0000 2025,14,26
49,Congress,"Disastrous policies of the Central &amp; State govts coupled with the Covid19 pandemic have dealt a death blow to the industry of Tamil Nadu which is a major driver of the national economy itself. Congress stands unrelentingly to revive &amp; support it.

#TNCongressManifesto https://t.co/GlZBVTqWVV",Wed Mar 17 14:10:00 +0000 2021,219,458
50,News18,"#BreakingNews | Population shouldn't be the base for delimitation, says Congress MP Priyank Kharge over Tamil Nadu CM MK Stalin delimitation remark

@nimumurali shares more details 

@harishupadhya | #MKStalin #Delimitation #MPs #Parliament https://t.co/l0hYk8aqqN",Wed Feb 26 08:01:06 +0000 2025,2,4
51,That Anonymous dude (Modi's family),#Thread on how wrong congress policy favored tamil nadu over UP &amp; Bihar in the 50s,Fri Feb 28 05:51:40 +0000 2025,0,0
52,Congress,"Shri @RahulGandhi begins his day in Tamil Nadu with a rousing welcome at a public meeting in Shastri Nagar, Chennai. 
#CongressForTN https://t.co/uGRvDlb0Z4",Sun Mar 28 07:07:16 +0000 2021,406,1753
53,Tamil Nadu Congress Committee,"இன்று நடைபெற்ற AICC பொதுச் செயலாளர்கள் மற்றும் பொறுப்பாளர்களின் கூட்டத்தில் எனது தொடக்க உரையின் பகுதிகள் -

காங்கிரஸ் கட்சியின் சித்தாந்தத்திற்கு உறுதியளித்து, பாதகமான சூழ்நிலைகளிலும் எங்களுடன் ஒரு பாறை போல நிற்கும் மக்களை நாம் ஊக்குவிக்க வேண்டும்.

பொறுப்புக்கூறல் https://t.co/SRRqvSNQ5s",Wed Feb 19 11:10:54 +0000 2025,31,43
54,Tamil Nadu Congress Committee,🔥🔥🔥 https://t.co/J82qrXT2j5,Mon Feb 24 07:59:07 +0000 2025,37,63
55,RAHUL,"Politically, the impact on the Congress in Tamil Nadu was disastrous. It could never recover the ground it lost during the anti-Hindi agitations.
2 yrs later in 1967, the DMK won the Assembly elections, later CM Annadurai renamed Madras State as Tamil Naduon 14 Jan 1969. 23/24 https://t.co/kSti4XW7Mt",Sun Feb 23 07:24:10 +0000 2025,7,14
56,ANI,"#WATCH | Tiruchirappalli, Tamil Nadu | Congress MP Karti Chidambaram says,"" There is absolute unanimity in Tamil Nadu in rejecting the New Educational Policy (NEP) of the BJP central government. Tamil Nadu cannot be held at ransom and be forced to implement a three-language https://t.co/7Ka3KHFtkg",Sun Feb 23 09:54:07 +0000 2025,3,15
57,Tamil Nadu Congress Sevadal,"போபாலில் நடைபெற்ற முதலீட்டாளர்கள் மாநாட்டில்..,😳
 https://t.co/ELGWfpA8Ft",Wed Feb 26 06:24:02 +0000 2025,4,5
58,Kumar Anshuman,"From Hashtag battle in Tamil Nadu, Karnataka financial woes, Telangana mounting debts to Rajasthan Congress MLAs spending the night in the assembly, this week's #Statement @ETPolitics https://t.co/B4eBECeutf",Sun Feb 23 07:31:27 +0000 2025,6,4
59,Ashish Singh,"Dmk-congress Seat sharing done in Tamil Nadu
DMK give 10 seats To Congress Party!

2019 DMK give Congress party 8 seats https://t.co/sJvKdAGxFY",Sat Mar 09 14:17:32 +0000 2024,63,363
60,Tamil Nadu Congress Committee,"Tamil Nadu Congress Committee President Thiru
@SPK_TNCC presided over a discussion with the office bearers of the newly formed Town Panchayat and Panchayat Village Committee of Sriperumbudur Assembly Constituency and distributed identity cards to the members of the committees. https://t.co/n9bqN3zsmU",Sat Feb 15 14:12:17 +0000 2025,66,82
61,Tamil Nadu Congress Committee,https://t.co/q8F5iHj9sl,Sat Feb 15 13:45:57 +0000 2025,9,13
62,Tamil Nadu Congress Sevadal,"Is the USAID’s funding to India part of a larger scheme to influence elections and political narratives? The connections between BJP and USAID must be questioned.
#USAIDFundedBJP https://t.co/YMBACV9nLn",Wed Feb 19 15:52:50 +0000 2025,15,12
63,News18 Tamil Nadu,"#JUSTIN இந்தியர்களை கண்ணியக்குறைவாக நடத்திய அமெரிக்கா - காங்கிரஸ் குற்றச்சாட்டு 

#Americans #Indian #Congress #News18Tamilnadu | https://t.co/3v5L32pLWJ https://t.co/hgmTd5pwmO",Thu Feb 06 04:44:56 +0000 2025,0,9
64,Dalit Congress 🇮🇳,"Many congratulations to our @INC_TNSCDEPT Chairman, MLA Sriperumpudur Shri @SPK_TNCC ji on being elected as the Congress Legislative Party Leader in Tamil Nadu Assembly. https://t.co/B0wedTDy9m",Sun May 23 15:44:12 +0000 2021,46,200
65,Tamil Nadu Congress Committee,"2020 இல் அறிமுகப்படுத்தப்பட்ட தேசிய கல்விக் கொள்கையை ஏற்றுக் கொண்டு, தமிழக கல்வித்துறைக்கு சமக்ரா சிக்ஷா அபியான் திட்டத்திற்கு வழங்க வேண்டிய ரூபாய் 2152 கோடியையும், பி.எம்.ஸ்ரீ பள்ளிகளை திறக்கவில்லை எனில் ரூபாய் 5,000 கோடியையும் வழங்க முடியாது  என ஒன்றிய கல்வி அமைச்சர் தர்மேந்திர https://t.co/4sbABZY2lt",Fri Feb 21 13:06:27 +0000 2025,16,19
66,Tamil Nadu Congress Committee,"A meeting of Congress general secretaries and state in-charges held at the party headquarters today, led by Congress President Shri @kharge, Leader of Opposition Shri @RahulGandhi and Congress General Secretary (Organization) Shri @kcvenugopalmp
.
📍 INDIRA BHAWAN, NEW DELHI https://t.co/0EeM8UVhSm",Wed Feb 19 07:09:19 +0000 2025,23,21
