Tweet_count,Username,Text,Created At,Retweets,Likes
29,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் தலைவர் திரு. @ikamalhaasan அவர்கள் முன்வைத்த கோரிக்கை!

உறுதியளித்த தமிழ்நாடு துணை முதல்வர் திரு. @Udhaystalin அவர்கள்.

#KamalHaasan
#MakkalNeedhiMaiam https://t.co/upFjHeGoBD",Fri Feb 21 16:04:29 +0000 2025,97,212
30,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"பரமக்குடி வேந்தோணி கிராமத்தில் 'நம்மவர் படிப்பகம்' திறப்பு விழா 

தமிழகம் முழுவதும் ஒவ்வொரு ஊரிலும் படிப்பகம் தொடங்க வேண்டும் என்ற மக்கள் நீதி மய்யம் கட்சித் தலைவர் திரு. கமல் ஹாசன் அவர்களது சிந்தனைக்கு செயல்வடிவம் கொடுக்கும் வகையில், இராமநாதபுரம் மாவட்டம் பரமக்குடி அருகேயுள்ள https://t.co/ZaY6Eppp5l",Mon Jan 27 09:18:51 +0000 2025,82,156
31,PuthiyathalaimuraiTV,"""ரசிகர்கள் வேறு, வாக்காளர்கள் வேறு""- மநீம தலைவர் கமல்ஹாசன்

#KamalHaasan | #MNM8thYear  | #MakkalNeedhiMaiam https://t.co/ID7V1lIpsn",Fri Feb 21 11:42:42 +0000 2025,199,1200
32,Mohammed Zabiullah,"மக்கள் நீதி மய்யம்

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/9LKmzqnXzD",Mon Feb 24 14:19:46 +0000 2025,4,12
33,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் கட்சியின் 8-ம் ஆண்டு துவக்கத்தை முன்னிட்டு, பொள்ளாச்சியில் மரக்கன்றுகள் நடும் நிகழ்வு.

மக்கள் நீதி மய்யம் கட்சியின் 8-ம் ஆண்டு துவக்கத்தை முன்னிட்டு, பொள்ளாச்சி நுண்ணுயிர் உரம் தயாரிக்கும் மையத்தில்  மரக்கன்றுகள் நடப்பட்டன.

கட்சியின் துணைத் தலைவர் திரு. https://t.co/rhNcSkkkbf",Fri Jan 31 14:08:07 +0000 2025,111,218
34,💥🔥𝘛𝘩𝘶𝘨 𝘏𝘢𝘢𝘴𝘢𝘯 𝘐𝘛 𝘞𝘪𝘯𝘨 🔥💥,"#மக்கள்நீதிமய்யம் 

நம்ம கட்சி 
நம்ம 
ஆண்டவர்க்காக 
அன்றும் 
இன்றும் 
என்றும் 
உழைத்து கொண்டே இருப்போம்
@AbdulMuzaffar17 
@Gymswathi6316 
உங்கள் மதன்கமல் 

#KHFANZITWING 

#KamalHaasan
#MakkalNeedhiMaiam 
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/1qmSnLFpj3",Fri Feb 21 05:55:20 +0000 2025,43,84
35,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் கட்சியின் திருவொற்றியூர்
மாவட்ட நிர்வாகிகள் ஆலோசனைக் கூட்டம்.

மக்கள் நீதி மய்யம் கட்சியின் 8-ம் ஆண்டு தொடக்கத்தை முன்னிட்டு, கட்சியின் தலைவர் திரு. @ikamalhaasan அவர்களது ஆலோசனையின்பேரில்,
திருவொற்றியூர் மாவட்ட நிர்வாகிகள் ஆலோசனைக் கூட்டம், சென்னை மண்டலச் https://t.co/GEjum6otxA",Sun Feb 16 12:26:04 +0000 2025,83,179
36,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"கோபிசெட்டிபாளையத்தில் மக்கள் நீதி மய்யம் கட்சியின் 8-ம் ஆண்டு தொடக்க விழா கொண்டாட்டம்.

மக்கள் நீதி மய்யம் கட்சித் தலைவர் திரு. @ikamalhaasan அவர்களது வழிகாட்டுதல்படி, கட்சியின் 8-ம் ஆண்டு தொடக்க விழா கோபிசெட்டிபாளையத்தில் விமரிசையாக நடைபெற்றது.

கட்சியின் மாவட்டச் செயலாளர் திரு. https://t.co/Uwzg8IMKRX",Wed Feb 26 08:03:54 +0000 2025,73,154
37,Rajesh,"உயிரே உறவே தமிழே.. ❤️

#KamalHaasan #MNM8thYear
#MakkalNeedhiMaiam https://t.co/1jcHnfRjTD",Fri Feb 21 11:39:42 +0000 2025,19,63
38,💥🔥𝘛𝘩𝘶𝘨 𝘏𝘢𝘢𝘴𝘢𝘯 𝘐𝘛 𝘞𝘪𝘯𝘨 🔥💥,"#MNM agenda is everywhere

#மக்கள்நீதிமய்யம் 

#KamalHaasan
#MakkalNeedhiMaiam 
#8ம்ஆண்டில்_மய்யம்
#MakkalNeedhiMaiam_8thyear https://t.co/XztWiVCZN0",Thu Feb 20 08:38:59 +0000 2025,32,53
39,Mohammed Zabiullah,"மக்கள் நீதி மய்யம்

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/826m9NZ4TQ",Wed Feb 26 15:02:11 +0000 2025,17,69
40,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"'நம்மவர் படிப்பகங்கள்' திறப்பு விழா
மக்கள் நீதி மய்யம் தலைவர் திரு. கமல் ஹாசன் வாழ்த்து.

விருதுநகர் மாவட்டம் அருப்புக்கோட்டை அருகேயுள்ள கல்லூரணி மற்றும் ராமநாதபுரம் மாவட்டம் பரமக்குடி அருகேயுள்ள வேந்தோணி கிராமங்களில் அமைக்கப்பட்டுள்ள 'நம்மவர் படிப்பகங்கள்' திறப்பு விழாவை https://t.co/jUrxhk45FV",Sun Jan 26 12:19:00 +0000 2025,135,254
41,A.kamalsenthil,"தெறிக்க விடும் 
தெற்கு மாவட்ட மநீம, மதுரை
Kamal Haasan @highlight Makkal Needhi Maiam Maiam Madurai #மதுரை_தெற்கு_மநீம #மக்கள்_நீதி_மய்யம் #காலண்டர்2025 #மதுரை_தெற்கு_மாவட்டம் #MakkalNeedhiMaiam #நம்மவர் #தக்லைஃப் #KamalHaasan #நாட்காட்டி https://t.co/LmdXY1GLej",Sat Jan 04 04:20:24 +0000 2025,11,27
42,A.kamalsenthil,"#மதுரை_தெற்கு_மாவட்டம்
#மக்கள்_நீதி_மய்யம்  சார்பில் தினசரி #நாட்காட்டி (#காலண்டர்2025)

Kamal Haasan Maiam Madurai @highlight Makkal Needhi Maiam 
#நம்மவர் #KamalHaasan #MakkalNeedhiMaiam #மதுரை_தெற்கு_மநீம https://t.co/l6ab3ksyH1",Sat Dec 28 08:51:59 +0000 2024,12,21
43,A.kamalsenthil,"dநெல்லை மண்டல செயலாளர், #டாக்டர்_பிரேம்நாத் அவர்களின் இல்லத் திருமண வரவேற்பு நிகழ்வில் #அருணாசலம்_அய்யா, #நாகராஜன்_அண்ணா #மதுரை_மண்டல_மய்யத்தூண் #அழகர்_அண்ணாவுடன் #உங்கள்_நான். #KamalHaasan #Maiam_Madurai @highlight #Makkal_Needhi_Maiam https://t.co/xPiWka1afp",Sun Jan 05 11:51:14 +0000 2025,8,21
44,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் கட்சியின் தலைவர் திரு. கமல் ஹாசன் அவர்கள் பேரறிஞர் அண்ணாவை நினைவு கூர்ந்தார்.

#KamalHaasan
#MakkalNeedhiMaiam
#RememberingAnna https://t.co/KbHxHFVQXk",Mon Feb 03 09:37:30 +0000 2025,91,169
45,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"Makkal Needhi Maiam Namakkal Vision 2024.

#தேடித்தீர்ப்போம்வா https://t.co/lPAjezFT4m",Mon Apr 15 19:06:32 +0000 2019,69,282
46,Gopi Siva kumar,"*மக்கள் நீதி மய்யம் கட்சியின் 8-ஆண்டு துவக்கவிழாவை*
 துணைத் தலைவர் திரு.R.தங்கவேல் அவர்கள் கலந்து கொண்டு துவங்கி வைத்த நிகழ்வில்

உயர்திரு.A.ரங்கநாதன்
கோவை மண்டல செயலாளர்* 

திரு.G.மயில்சாமி*
மாநில விவசாய அணி செயலாளர்
#KamalHaasan 
#MakkalNeedhiMaiam 
#MNM8THYEAR 
#மநீம8ம்ஆண்டு https://t.co/9S2JnY17t0",Wed Feb 26 09:06:08 +0000 2025,2,5
47,ஜெயபிரசாத்,"#KamalHaasan 
#MakkalNeedhiMaiam 
#MNM8THYEAR
#மநீம8ம்ஆண்டு
@ikamalhaasan https://t.co/DrWOFOtcto",Thu Feb 20 15:58:24 +0000 2025,25,46
48,ஜெயபிரசாத்,"#KamalHaasan 
#MakkalNeedhiMaiam 
#MNM8THYEAR
#மநீம8ம்ஆண்டு
@ikamalhaasan https://t.co/3EF7Vs6zg5",Fri Feb 21 06:34:45 +0000 2025,9,18
49,ஜெயபிரசாத்,"#KamalHaasan 
#MakkalNeedhiMaiam 
#MNM8THYEAR
#மநீம8ம்ஆண்டு
@ikamalhaasan https://t.co/Fo5g7BLIqe",Fri Feb 21 10:30:28 +0000 2025,12,17
50,💥🔥𝘛𝘩𝘶𝘨 𝘏𝘢𝘢𝘴𝘢𝘯 𝘐𝘛 𝘞𝘪𝘯𝘨 🔥💥,"8 ஆம் ஆண்டில் #மக்கள்நீதிமய்யம் 

#KamalHaasan𓃵
#MakkalNeedhiMaiam 
#8ம்ஆண்டில்_மய்யம்
#MakkalNeedhiMaiam_8thyear https://t.co/79f2RIdhKp",Thu Feb 20 11:43:31 +0000 2025,14,37
51,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"மக்கள் நீதி மய்யம் எழும்பூர் மாவட்ட நிர்வாகிகள் ஆலோசனைக் கூட்டம்.

மக்கள் நீதி மய்யம் கட்சியின் வளர்ச்சிப் பணிகளை ஆலோசிக்கும் வகையிலும், கட்சித் தலைவர் திரு. @ikamalhaasan அவர்களது எண்ணத்திற்கு செயல்வடிவம் கொடுக்கும் வகையிலும், எழும்பூர் மாவட்ட நிர்வாகிகள் ஆலோசனைக் கூட்டம் சென்னை https://t.co/JAKIgolfXn",Fri Feb 14 07:49:39 +0000 2025,95,190
52,Fouzi,"அரசியல் இருக்கும் வரை மக்கள் நீதி மய்யம் இருக்கும்..
#KamalHaasan
#MakkalNeedhiMaiam 
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/xTRY9geVK7",Fri Feb 21 05:29:02 +0000 2025,17,45
53,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"The leader of Makkal Needhi Maiam, a party with the people at it's core!
Join us at https://t.co/s6zHqHUNdQ 
#MakkalNeedhiMaiam #maiam #isupportkamal https://t.co/NNH99IeDgG",Wed Feb 21 14:35:48 +0000 2018,621,2938
54,Makkal Needhi Maiam | மக்கள் நீதி மய்யம்,"நாடாளுமன்றம், சட்டமன்றத்தில் மக்கள் நீதி மய்யத்தின் குரல் ஒலிக்கும்!

8-ம் ஆண்டு தொடக்க விழாவில் தலைவர் திரு. @ikamalhaasan அவர்கள் உறுதி!

#KamalHaasan
#MakkalNeedhiMaiam
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/NuNl8MmdCe",Tue Feb 25 14:00:03 +0000 2025,85,150
55,Mohammed Zabiullah,"#KamalHaasan 
#MakkalNeedhiMaiam 
#MNM8THYEAR
#மநீம8ம்ஆண்டு https://t.co/Vp5dY0Akk0",Fri Feb 21 05:10:05 +0000 2025,9,24
56,ஜெயபிரசாத்,"#KamalHaasan 
#MakkalNeedhiMaiam 
#MNM8THYEAR
#மநீம8ம்ஆண்டு
@ikamalhaasan https://t.co/wemyOvGWrT",Thu Feb 20 15:38:42 +0000 2025,40,74
57,SundaR KamaL,"இந்தியை திணிக்காதீர்கள், தனக்கு எந்த மொழி தேவை எந்த மொழி தேவையில்லை என்று தமிழனுக்கு தெரியாதா? இதை முடிவு செய்யும் அறிவு தமிழனுக்கு உண்டு, இந்த விஷயத்தில் விளையாடாதீர்கள் - மக்கள் நீதி மய்யம் தலைவர் #கமல்ஹாசன்🔥🔥🔥

#MakkalNeedhiMaiam
#KamalHaasan
#MNM8thYear
#மநீம8ம்ஆண்டு https://t.co/RyU4ewHllv",Fri Feb 21 14:14:48 +0000 2025,108,305
58,Prashanth Haasan,"Chief #Ulaganayagan @ikamalhaasan sir is the only Fearless Indian Artist /Politician who has given more Interviews from press, Magazines, local Media to National media in the history of Indian art and politics!!!🔥🔥🔥

#KamalHaasan @maiamofficial
#MakkalNeedhiMaiam
@RKFI https://t.co/Jjmcu3Qgk4",Thu Feb 27 05:00:21 +0000 2025,63,161
